"ngay_mo_phong","sku","ten_san_pham","nhan_hang","nhom_hang","quy_cach","don_vi","gia_vnd","vi_tri_ke","vi_tri_kho","bao_quan","ma_lo","ngay_san_xuat","ngay_nhap","han_su_dung","kho_du_tru","ke_ban","cho_len_ke","dang_tren_xe","cach_ly_hong","cach_ly_het_han"
"2026-09-14","SKU-0004","Nước soda 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0004-L01","2026-03-09","2026-09-13","2026-12-04","2","5","0","0","0","0"
"2026-09-14","SKU-0004","Nước soda 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0004-L02","2026-05-10","2026-09-11","2027-02-04","5","3","0","0","0","0"
"2026-09-14","SKU-0004","Nước soda 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0004-L03","2026-07-11","2026-09-09","2027-04-07","4","0","0","0","0","0"
"2026-09-14","SKU-0005","Nước ngọt cola 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0005-L01","2026-03-09","2026-09-13","2026-12-04","2","6","0","0","0","0"
"2026-09-14","SKU-0005","Nước ngọt cola 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0005-L02","2026-05-10","2026-09-11","2027-02-04","6","3","0","0","0","0"
"2026-09-14","SKU-0005","Nước ngọt cola 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0005-L03","2026-07-11","2026-09-09","2027-04-07","4","0","0","0","0","0"
"2026-09-14","SKU-0006","Nước ngọt cam 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0006-L01","2026-03-09","2026-09-13","2026-12-04","6","13","0","0","0","0"
"2026-09-14","SKU-0006","Nước ngọt cam 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0006-L02","2026-05-10","2026-09-11","2027-02-04","16","8","0","0","0","0"
"2026-09-14","SKU-0006","Nước ngọt cam 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0006-L03","2026-07-11","2026-09-09","2027-04-07","11","0","0","0","0","0"
"2026-09-14","SKU-0007","Nước ngọt chanh 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0007-L01","2026-03-09","2026-09-13","2026-12-04","2","7","0","0","0","0"
"2026-09-14","SKU-0007","Nước ngọt chanh 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0007-L02","2026-05-10","2026-09-11","2027-02-04","7","4","0","0","0","0"
"2026-09-14","SKU-0007","Nước ngọt chanh 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0007-L03","2026-07-11","2026-09-09","2027-04-07","5","0","0","0","0","0"
"2026-09-14","SKU-0008","Trà xanh 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0008-L01","2026-03-09","2026-09-13","2026-12-04","3","8","0","0","0","0"
"2026-09-14","SKU-0008","Trà xanh 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0008-L02","2026-05-10","2026-09-11","2027-02-04","7","4","0","0","0","0"
"2026-09-14","SKU-0008","Trà xanh 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0008-L03","2026-07-11","2026-09-09","2027-04-07","5","0","0","0","0","0"
"2026-09-14","SKU-0009","Trà đào 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0009-L01","2026-03-09","2026-09-13","2026-12-04","3","8","0","0","0","0"
"2026-09-14","SKU-0009","Trà đào 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0009-L02","2026-05-10","2026-09-11","2027-02-04","8","5","0","0","0","0"
"2026-09-14","SKU-0009","Trà đào 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0009-L03","2026-07-11","2026-09-09","2027-04-07","5","0","0","0","0","0"
"2026-09-14","SKU-0010","Trà chanh 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0010-L01","2026-03-09","2026-09-13","2026-12-04","3","9","0","0","0","0"
"2026-09-14","SKU-0010","Trà chanh 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0010-L02","2026-05-10","2026-09-11","2027-02-04","8","5","0","0","0","0"
"2026-09-14","SKU-0010","Trà chanh 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0010-L03","2026-07-11","2026-09-09","2027-04-07","6","0","0","0","0","0"
"2026-09-14","SKU-0011","Nước chanh muối 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0011-L01","2026-03-09","2026-09-13","2026-12-04","7","11","0","0","0","0"
"2026-09-14","SKU-0011","Nước chanh muối 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0011-L02","2026-05-10","2026-09-11","2027-02-04","19","6","0","0","0","0"
"2026-09-14","SKU-0011","Nước chanh muối 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0011-L03","2026-07-11","2026-09-09","2027-04-07","12","0","0","0","0","0"
"2026-09-14","SKU-0012","Nước tăng lực 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0012-L01","2026-03-09","2026-09-13","2026-12-04","3","10","0","0","0","0"
"2026-09-14","SKU-0012","Nước tăng lực 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0012-L02","2026-05-10","2026-09-11","2027-02-04","9","6","0","0","0","0"
"2026-09-14","SKU-0012","Nước tăng lực 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","10500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0012-L03","2026-07-11","2026-09-09","2027-04-07","7","0","0","0","0","0"
"2026-09-14","SKU-0013","Nước điện giải 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0013-L01","2026-03-09","2026-09-13","2026-12-04","4","3","0","0","0","0"
"2026-09-14","SKU-0013","Nước điện giải 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0013-L02","2026-05-10","2026-09-11","2027-02-04","10","2","0","0","0","0"
"2026-09-14","SKU-0013","Nước điện giải 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0013-L03","2026-07-11","2026-09-09","2027-04-07","6","0","0","0","0","0"
"2026-09-14","SKU-0014","Nước nha đam 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0014-L01","2026-03-09","2026-09-13","2026-12-04","4","4","0","0","0","0"
"2026-09-14","SKU-0014","Nước nha đam 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0014-L02","2026-05-10","2026-09-11","2027-02-04","10","2","0","0","0","0"
"2026-09-14","SKU-0014","Nước nha đam 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","11000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0014-L03","2026-07-11","2026-09-09","2027-04-07","7","0","0","0","0","0"
"2026-09-14","SKU-0015","Trà bí đao 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0015-L01","2026-03-09","2026-09-13","2026-12-04","4","5","0","0","0","0"
"2026-09-14","SKU-0015","Trà bí đao 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0015-L02","2026-05-10","2026-09-11","2027-02-04","11","2","0","0","0","0"
"2026-09-14","SKU-0015","Trà bí đao 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0015-L03","2026-07-11","2026-09-09","2027-04-07","7","0","0","0","0","0"
"2026-09-14","SKU-0016","Nước sâm 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0016-L01","2026-03-09","2026-09-13","2026-12-04","8","14","0","0","0","0"
"2026-09-14","SKU-0016","Nước sâm 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0016-L02","2026-05-10","2026-09-11","2027-02-04","21","8","0","0","0","0"
"2026-09-14","SKU-0016","Nước sâm 330 ml","An Gia","Nước uống & nước ngọt","330 ml","chai","9500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0016-L03","2026-07-11","2026-09-09","2027-04-07","14","0","0","0","0","0"
"2026-09-14","SKU-0017","Nước tinh khiết 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0017-L01","2026-03-09","2026-09-13","2026-12-04","4","6","0","0","0","0"
"2026-09-14","SKU-0017","Nước tinh khiết 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0017-L02","2026-05-10","2026-09-11","2027-02-04","12","3","0","0","0","0"
"2026-09-14","SKU-0017","Nước tinh khiết 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0017-L03","2026-07-11","2026-09-09","2027-04-07","8","0","0","0","0","0"
"2026-09-14","SKU-0018","Nước khoáng 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0018-L01","2026-03-09","2026-09-13","2026-12-04","5","6","0","0","0","0"
"2026-09-14","SKU-0018","Nước khoáng 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0018-L02","2026-05-10","2026-09-11","2027-02-04","12","4","0","0","0","0"
"2026-09-14","SKU-0018","Nước khoáng 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0018-L03","2026-07-11","2026-09-09","2027-04-07","8","0","0","0","0","0"
"2026-09-14","SKU-0019","Nước khoáng có ga 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0019-L01","2026-03-09","2026-09-13","2026-12-04","5","7","0","0","0","0"
"2026-09-14","SKU-0019","Nước khoáng có ga 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0019-L02","2026-05-10","2026-09-11","2027-02-04","13","4","0","0","0","0"
"2026-09-14","SKU-0019","Nước khoáng có ga 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0019-L03","2026-07-11","2026-09-09","2027-04-07","8","0","0","0","0","0"
"2026-09-14","SKU-0020","Nước soda 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0020-L01","2025-12-20","2026-09-13","2026-09-16","5","8","0","0","0","0"
"2026-09-14","SKU-0020","Nước soda 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0020-L02","2026-05-10","2026-09-11","2027-02-04","13","4","0","0","0","0"
"2026-09-14","SKU-0020","Nước soda 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0020-L03","2026-07-11","2026-09-09","2027-04-07","9","0","0","0","0","0"
"2026-09-14","SKU-0021","Nước ngọt cola 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0021-L01","2026-03-09","2026-09-13","2026-12-04","9","11","0","0","0","0"
"2026-09-14","SKU-0021","Nước ngọt cola 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0021-L02","2026-05-10","2026-09-11","2027-02-04","24","7","0","0","0","0"
"2026-09-14","SKU-0021","Nước ngọt cola 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0021-L03","2026-07-11","2026-09-09","2027-04-07","15","0","0","0","0","0"
"2026-09-14","SKU-0022","Nước ngọt cam 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0022-L01","2026-03-09","2026-09-13","2026-12-04","1","9","0","0","0","0"
"2026-09-14","SKU-0022","Nước ngọt cam 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0022-L02","2026-05-10","2026-09-11","2027-02-04","4","5","0","0","0","0"
"2026-09-14","SKU-0022","Nước ngọt cam 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0022-L03","2026-07-11","2026-09-09","2027-04-07","4","0","0","0","0","0"
"2026-09-14","SKU-0023","Nước ngọt chanh 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0023-L01","2026-03-09","2026-09-13","2026-12-04","2","9","0","0","0","0"
"2026-09-14","SKU-0023","Nước ngọt chanh 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0023-L02","2026-05-10","2026-09-11","2027-02-04","5","6","0","0","0","0"
"2026-09-14","SKU-0023","Nước ngọt chanh 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0023-L03","2026-07-11","2026-09-09","2027-04-07","3","0","0","0","0","0"
"2026-09-14","SKU-0024","Trà xanh 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0024-L01","2026-03-09","2026-09-13","2026-12-04","2","10","0","0","0","0"
"2026-09-14","SKU-0024","Trà xanh 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0024-L02","2026-05-10","2026-09-11","2027-02-04","5","6","0","0","0","0"
"2026-09-14","SKU-0024","Trà xanh 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0024-L03","2026-07-11","2026-09-09","2027-04-07","4","0","0","0","0","0"
"2026-09-14","SKU-0025","Trà đào 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0025-L01","2026-03-09","2026-09-13","2026-12-04","2","3","0","0","0","0"
"2026-09-14","SKU-0025","Trà đào 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0025-L02","2026-05-10","2026-09-11","2027-02-04","6","2","0","0","0","0"
"2026-09-14","SKU-0025","Trà đào 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0025-L03","2026-07-11","2026-09-09","2027-04-07","4","0","0","0","0","0"
"2026-09-14","SKU-0026","Trà chanh 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0026-L01","2026-03-09","2026-09-13","2026-12-04","6","14","0","0","0","0"
"2026-09-14","SKU-0026","Trà chanh 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0026-L02","2026-05-10","2026-09-11","2027-02-04","16","9","0","0","0","0"
"2026-09-14","SKU-0026","Trà chanh 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0026-L03","2026-07-11","2026-09-09","2027-04-07","10","0","0","0","0","0"
"2026-09-14","SKU-0027","Nước chanh muối 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0027-L01","2026-03-09","2026-09-13","2026-12-04","2","5","0","0","0","0"
"2026-09-14","SKU-0027","Nước chanh muối 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0027-L02","2026-05-10","2026-09-11","2027-02-04","7","2","0","0","0","0"
"2026-09-14","SKU-0027","Nước chanh muối 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0027-L03","2026-07-11","2026-09-09","2027-04-07","5","0","0","0","0","0"
"2026-09-14","SKU-0028","Nước tăng lực 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0028-L01","2026-03-09","2026-09-13","2026-12-04","3","5","0","0","0","0"
"2026-09-14","SKU-0028","Nước tăng lực 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0028-L02","2026-05-10","2026-09-11","2027-02-04","7","3","0","0","0","0"
"2026-09-14","SKU-0028","Nước tăng lực 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","16000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0028-L03","2026-07-11","2026-09-09","2027-04-07","5","0","0","0","0","0"
"2026-09-14","SKU-0029","Nước điện giải 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0029-L01","2026-03-09","2026-09-13","2026-12-04","3","6","0","0","0","0"
"2026-09-14","SKU-0029","Nước điện giải 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0029-L02","2026-05-10","2026-09-11","2027-02-04","8","3","0","0","0","0"
"2026-09-14","SKU-0029","Nước điện giải 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0029-L03","2026-07-11","2026-09-09","2027-04-07","5","0","0","0","0","0"
"2026-09-14","SKU-0030","Nước nha đam 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0030-L01","2026-03-09","2026-09-13","2026-12-04","3","6","0","0","0","0"
"2026-09-14","SKU-0030","Nước nha đam 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0030-L02","2026-05-10","2026-09-11","2027-02-04","8","4","0","0","0","0"
"2026-09-14","SKU-0030","Nước nha đam 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0030-L03","2026-07-11","2026-09-09","2027-04-07","6","0","0","0","0","0"
"2026-09-14","SKU-0031","Trà bí đao 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0031-L01","2026-03-09","2026-09-13","2026-12-04","7","12","0","0","0","0"
"2026-09-14","SKU-0031","Trà bí đao 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0031-L02","2026-05-10","2026-09-11","2027-02-04","18","7","0","0","0","0"
"2026-09-14","SKU-0031","Trà bí đao 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","14500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0031-L03","2026-07-11","2026-09-09","2027-04-07","12","0","0","0","0","0"
"2026-09-14","SKU-0032","Nước sâm 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0032-L01","2026-03-09","2026-09-13","2026-12-04","3","8","0","0","0","0"
"2026-09-14","SKU-0032","Nước sâm 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0032-L02","2026-05-10","2026-09-11","2027-02-04","9","4","0","0","0","0"
"2026-09-14","SKU-0032","Nước sâm 500 ml","An Gia","Nước uống & nước ngọt","500 ml","chai","15000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0032-L03","2026-07-11","2026-09-09","2027-04-07","7","0","0","0","0","0"
"2026-09-14","SKU-0033","Nước tinh khiết 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","20500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0033-L01","2026-03-09","2026-09-13","2026-12-04","4","8","0","0","0","0"
"2026-09-14","SKU-0033","Nước tinh khiết 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","20500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0033-L02","2026-05-10","2026-09-11","2027-02-04","10","5","0","0","0","0"
"2026-09-14","SKU-0033","Nước tinh khiết 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","20500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0033-L03","2026-07-11","2026-09-09","2027-04-07","6","0","0","0","0","0"
"2026-09-14","SKU-0034","Nước khoáng 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","20500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0034-L01","2026-03-09","2026-09-13","2026-12-04","4","9","0","0","0","0"
"2026-09-14","SKU-0034","Nước khoáng 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","20500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0034-L02","2026-05-10","2026-09-11","2027-02-04","10","5","0","0","0","0"
"2026-09-14","SKU-0034","Nước khoáng 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","20500","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0034-L03","2026-07-11","2026-09-09","2027-04-07","7","0","0","0","0","0"
"2026-09-14","SKU-0035","Nước khoáng có ga 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","21000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0035-L01","2026-03-09","2026-09-13","2026-12-04","4","9","0","0","0","0"
"2026-09-14","SKU-0035","Nước khoáng có ga 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","21000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0035-L02","2026-05-10","2026-09-11","2027-02-04","11","6","0","0","0","0"
"2026-09-14","SKU-0035","Nước khoáng có ga 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","21000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0035-L03","2026-07-11","2026-09-09","2027-04-07","7","0","0","0","0","0"
"2026-09-14","SKU-0036","Nước soda 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","19000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0036-L01","2026-03-09","2026-09-13","2026-12-04","8","15","0","0","0","0"
"2026-09-14","SKU-0036","Nước soda 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","19000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0036-L02","2026-05-10","2026-09-11","2027-02-04","21","9","0","0","0","0"
"2026-09-14","SKU-0036","Nước soda 1 lít","An Gia","Nước uống & nước ngọt","1 lít","chai","19000","A1","KHÔ-01","Kho khô · 15–30°C","SKU-0036-L03","2026-07-11","2026-09-09","2027-04-07","13","0","0","0","0","0"
